DESTINATION,NETWORK,NUMBER,RATE,EXP. DATE
BOLIVIA,ALL NETWORKS,59164858131,0.00275,2023-12-02T22:24:43.250Z,
BOLIVIA,ALL NETWORKS,59164858130,0.00275,2023-12-02T22:24:43.240Z,
BOLIVIA,ALL NETWORKS,59164858129,0.00275,2023-12-02T22:24:43.191Z,
BOLIVIA,ALL NETWORKS,59164858128,0.00275,2023-12-02T22:24:43.180Z,
BOLIVIA,ALL NETWORKS,59164858127,0.00275,2023-12-02T22:24:43.170Z,
BOLIVIA,ALL NETWORKS,59164858126,0.00275,2023-12-02T22:24:43.160Z,
BOLIVIA,ALL NETWORKS,59164858125,0.00275,2023-12-02T22:24:43.150Z,
BOLIVIA,ALL NETWORKS,59164858124,0.00275,2023-12-02T22:24:43.140Z,
BOLIVIA,ALL NETWORKS,59164858123,0.00275,2023-12-02T22:24:43.130Z,
BOLIVIA,ALL NETWORKS,59164858122,0.00275,2023-12-02T22:24:43.079Z,
BOLIVIA,ALL NETWORKS,59164858121,0.00275,2023-12-02T22:24:43.064Z,
BOLIVIA,ALL NETWORKS,59164858120,0.00275,2023-12-02T22:24:43.033Z,
BOLIVIA,ALL NETWORKS,59164858119,0.00275,2023-12-02T22:24:43.007Z,
BOLIVIA,ALL NETWORKS,59164858118,0.00275,2023-12-02T22:24:42.994Z,
BOLIVIA,ALL NETWORKS,59164858117,0.00275,2023-12-02T22:24:42.984Z,
BOLIVIA,ALL NETWORKS,59164858116,0.00275,2023-12-02T22:24:42.970Z,
BOLIVIA,ALL NETWORKS,59164858115,0.00275,2023-12-02T22:24:42.962Z,
BOLIVIA,ALL NETWORKS,59164858114,0.00275,2023-12-02T22:24:42.952Z,
BOLIVIA,ALL NETWORKS,59164858113,0.00275,2023-12-02T22:24:42.935Z,
BOLIVIA,ALL NETWORKS,59164858112,0.00275,2023-12-02T22:24:42.899Z,
BOLIVIA,ALL NETWORKS,59164858111,0.00275,2023-12-02T22:24:42.889Z,
BOLIVIA,ALL NETWORKS,59164858110,0.00275,2023-12-02T22:24:42.881Z,
BOLIVIA,ALL NETWORKS,59164858109,0.00275,2023-12-02T22:24:42.867Z,
BOLIVIA,ALL NETWORKS,59164858108,0.00275,2023-12-02T22:24:42.859Z,
BOLIVIA,ALL NETWORKS,59164858107,0.00275,2023-12-02T22:24:42.841Z,
BOLIVIA,ALL NETWORKS,59164858106,0.00275,2023-12-02T22:24:42.802Z,
BOLIVIA,ALL NETWORKS,59164858105,0.00275,2023-12-02T22:24:42.791Z,
BOLIVIA,ALL NETWORKS,59164858104,0.00275,2023-12-02T22:24:42.774Z,
BOLIVIA,ALL NETWORKS,59164858103,0.00275,2023-12-02T22:24:42.744Z,
BOLIVIA,ALL NETWORKS,59164858102,0.00275,2023-12-02T22:24:42.716Z,
BOLIVIA,ALL NETWORKS,59164858101,0.00275,2023-12-02T22:24:42.708Z,
BOLIVIA,ALL NETWORKS,59164858100,0.00275,2023-12-02T22:24:42.666Z,
